operator,family,phs_order,poly_deg,eps,N,nrmse
interpolation,IMQ,0,2,1.0,2025,0.05453882865220106
interpolation,IMQ,0,2,1.0,4900,0.8653095540133007
interpolation,Gaussian,0,2,1.0,100,0.11780318602037344
interpolation,Gaussian,0,2,1.0,225,0.20493258421126903
interpolation,Gaussian,0,2,1.0,400,0.31166735669050233
interpolation,Gaussian,0,2,1.0,900,1.3770358346577558
interpolation,Gaussian,0,2,1.0,2025,6.664066045939154
interpolation,Gaussian,0,2,1.0,4900,2.640241103924654
interpolation,IMQ,0,3,1.0,100,0.17382764806882667
interpolation,IMQ,0,3,1.0,225,0.00895027999323031
interpolation,IMQ,0,3,1.0,400,0.03340068758119096
interpolation,IMQ,0,3,1.0,900,0.02769085158704018
interpolation,IMQ,0,3,1.0,2025,0.07955571789885972
interpolation,IMQ,0,3,1.0,4900,0.033911732273011135
interpolation,Gaussian,0,3,1.0,100,0.14294356769903357
interpolation,Gaussian,0,3,1.0,225,0.2324099236186557
interpolation,Gaussian,0,3,1.0,400,1.9375221709017363
interpolation,Gaussian,0,3,1.0,900,0.5725312506559213
interpolation,Gaussian,0,3,1.0,2025,1.6018994485955242
interpolation,Gaussian,0,3,1.0,4900,7.592922351251167
interpolation,IMQ,0,4,1.0,100,0.17609369798483343
interpolation,IMQ,0,4,1.0,225,0.02414528939954734
interpolation,IMQ,0,4,1.0,400,0.015982309317020636
interpolation,IMQ,0,4,1.0,900,0.018286848704573942
interpolation,IMQ,0,4,1.0,2025,0.4533979110592677
interpolation,IMQ,0,4,1.0,4900,0.39869389958498536
interpolation,Gaussian,0,4,1.0,100,0.13778704112077847
interpolation,Gaussian,0,4,1.0,225,0.6688320030167013
interpolation,Gaussian,0,4,1.0,400,0.8807976043152461
interpolation,Gaussian,0,4,1.0,900,2.367170536536848
interpolation,Gaussian,0,4,1.0,2025,1.8805522445455758
interpolation,Gaussian,0,4,1.0,4900,3.8639151295116188
laplacian,PHS,1,1,0.0,100,5.989988933823895e14
laplacian,PHS,1,1,0.0,225,3.9336728968395706e14
laplacian,PHS,1,1,0.0,400,2.973526125906019e14
laplacian,PHS,1,1,0.0,900,1.9980856657023166e14
laplacian,PHS,1,1,0.0,2025,1.3319186761664052e14
laplacian,PHS,1,1,0.0,4900,8.545178230661981e13
laplacian,PHS,3,2,0.0,100,0.2601607106628507
laplacian,PHS,3,2,0.0,225,0.14905312067622312
laplacian,PHS,3,2,0.0,400,0.10984570668484081
laplacian,PHS,3,2,0.0,900,0.069172904552137
laplacian,PHS,3,2,0.0,2025,0.045012779234812984
laplacian,PHS,3,2,0.0,4900,0.028355616385754366
laplacian,PHS,5,3,0.0,100,0.05791584591688446
laplacian,PHS,5,3,0.0,225,0.021879752901983972
laplacian,PHS,5,3,0.0,400,0.012947894405028075
laplacian,PHS,5,3,0.0,900,0.005065703071368227
laplacian,PHS,5,3,0.0,2025,0.0021129107340649165
laplacian,PHS,5,3,0.0,4900,0.0008260409349859446
laplacian,PHS,7,4,0.0,100,0.0159627199135126
laplacian,PHS,7,4,0.0,225,0.0036712387631434927
laplacian,PHS,7,4,0.0,400,0.0013397125805927788
laplacian,PHS,7,4,0.0,900,0.00029962866826647056
laplacian,PHS,7,4,0.0,2025,7.175460664780655e-5
laplacian,PHS,7,4,0.0,4900,1.5589632084626945e-5
laplacian,PHS,5,2,0.0,100,0.11017580151995335
laplacian,PHS,5,2,0.0,225,0.05911483749890274
laplacian,PHS,5,2,0.0,400,0.042673936507424126
laplacian,PHS,5,2,0.0,900,0.024140184826444155
laplacian,PHS,5,2,0.0,2025,0.014957866051039749
laplacian,PHS,5,2,0.0,4900,0.008733210880087761
laplacian,PHS,5,4,0.0,100,0.01805847246337975
laplacian,PHS,5,4,0.0,225,0.004218930674718789
laplacian,PHS,5,4,0.0,400,0.0015492785986495454
laplacian,PHS,5,4,0.0,900,0.00037586027613515727
laplacian,PHS,5,4,0.0,2025,8.783983201107964e-5
laplacian,PHS,5,4,0.0,4900,1.8705131330114255e-5
laplacian,PHS,5,5,0.0,100,0.00706031209372612
