operator,family,poly_deg,eps,N,nrmse,cond_est
interpolation,IMQ,2,0.1,900,5.540598681645516,NaN
interpolation,IMQ,2,0.14597743028861676,900,5.389022745614066,NaN
interpolation,IMQ,2,0.21309410153667974,900,7.256095016204531,NaN
interpolation,IMQ,2,0.3110692935198609,900,46.48895900678397,NaN
interpolation,IMQ,2,0.4540909610972476,900,0.835922248719699,NaN
interpolation,IMQ,2,0.6628703161826445,900,10.839331770481882,NaN
interpolation,IMQ,2,0.9676410537094535,900,0.24872627729505245,NaN
interpolation,IMQ,2,1.4125375446227544,900,0.02665295445328754,NaN
interpolation,IMQ,2,2.06198600950222,900,3.413629561769032e-7,NaN
interpolation,IMQ,2,3.0100341895821345,900,9.657545813460135e-8,NaN
interpolation,IMQ,2,4.393970560760792,900,1.5761448251308354e-6,NaN
interpolation,IMQ,2,6.414205312236928,900,1.4763037573270195e-5,NaN
interpolation,IMQ,2,9.363292088239415,900,0.00013185207314559717,NaN
interpolation,IMQ,2,13.668293180829261,900,0.0005202910767656506,NaN
interpolation,IMQ,2,19.952623149688797,900,0.0012032589936169695,NaN
interpolation,Gaussian,2,0.1,900,5.222154020467023,NaN
interpolation,Gaussian,2,0.14597743028861676,900,25.075025448652294,NaN
interpolation,Gaussian,2,0.21309410153667974,900,8.14583067033147,NaN
interpolation,Gaussian,2,0.3110692935198609,900,1.9721087016601924,NaN
interpolation,Gaussian,2,0.4540909610972476,900,10.474953986144776,NaN
interpolation,Gaussian,2,0.6628703161826445,900,79.69825357265593,NaN
interpolation,Gaussian,2,0.9676410537094535,900,2.3281791603108104,NaN
interpolation,Gaussian,2,1.4125375446227544,900,0.35993599419849737,NaN
interpolation,Gaussian,2,2.06198600950222,900,0.2588420791125448,NaN
interpolation,Gaussian,2,3.0100341895821345,900,0.03999568900408589,NaN
interpolation,Gaussian,2,4.393970560760792,900,0.0005054749531356682,NaN
interpolation,Gaussian,2,6.414205312236928,900,9.025398161061904e-8,NaN
interpolation,Gaussian,2,9.363292088239415,900,4.844770062864193e-6,NaN
interpolation,Gaussian,2,13.668293180829261,900,0.0002983603000057377,NaN
interpolation,Gaussian,2,19.952623149688797,900,0.003248541501739287,NaN
laplacian,IMQ,2,0.1,900,0.12143676757017534,NaN
laplacian,IMQ,2,0.14597743028861676,900,0.08788910950773221,NaN
laplacian,IMQ,2,0.21309410153667974,900,0.00727684548194089,NaN
laplacian,IMQ,2,0.3110692935198609,900,0.0024510407817006866,NaN
laplacian,IMQ,2,0.4540909610972476,900,0.002464423468793238,NaN
laplacian,IMQ,2,0.6628703161826445,900,0.0025746931325857612,NaN
