operator,family,phs_order,poly_deg,eps,N,nrmse,build_time_s
gradient,PHS,3,1,0.0,2500,0.009921221770861658,0.002422975
gradient,PHS,5,1,0.0,2500,0.29788182264613783,0.002388064
gradient,PHS,7,1,0.0,2500,0.4793453563150798,0.002282124
gradient,IMQ,0,1,1.0,2500,0.002585170032894164,0.002272814
gradient,Gaussian,0,1,1.0,2500,0.0021524024707851703,0.002230334
gradient,PHS,3,2,0.0,2500,0.0004972180438972122,0.004053437
gradient,PHS,5,2,0.0,2500,0.00031346893373016883,0.004416108
gradient,PHS,7,2,0.0,2500,0.013480394033863571,0.004064718
gradient,IMQ,0,2,1.0,2500,4.741239434598097e-5,0.004192187
gradient,Gaussian,0,2,1.0,2500,3.230750191619139e-5,0.004161418
gradient,PHS,3,3,0.0,2500,2.37456694383077e-5,0.008685655
gradient,PHS,5,3,0.0,2500,1.7551519093419116e-5,0.008932126
gradient,PHS,7,3,0.0,2500,9.68513409540849e-6,0.009039796
gradient,IMQ,0,3,1.0,2500,1.3868681710150212e-5,0.009223846
gradient,Gaussian,0,3,1.0,2500,1.3678497881846613e-5,0.009237606
gradient,PHS,3,4,0.0,2500,1.5286077132978462e-6,0.015703428
gradient,PHS,5,4,0.0,2500,1.1803418479043707e-6,0.017180881
gradient,PHS,7,4,0.0,2500,7.977565984190338e-7,0.018017013
gradient,IMQ,0,4,1.0,2500,1.5052012396222661e-6,0.018709884
gradient,Gaussian,0,4,1.0,2500,3.637677672141973e-5,0.015510378
gradient,PHS,3,5,0.0,2500,1.2282943566574835e-7,0.04429484
gradient,PHS,5,5,0.0,2500,7.338542780152267e-8,0.044855241
gradient,PHS,7,5,0.0,2500,4.257476040202937e-8,0.045429962
gradient,IMQ,0,5,1.0,2500,3.347663838790659e-7,0.045623293
gradient,Gaussian,0,5,1.0,2500,8.29435977740267e-6,0.043911359
gradient,PHS,3,6,0.0,2500,8.392981391556592e-9,0.061572931
gradient,PHS,5,6,0.0,2500,5.097432987446415e-9,0.064458397
gradient,PHS,7,6,0.0,2500,3.3060800245491322e-9,0.093209618
gradient,IMQ,0,6,1.0,2500,6.008491071531909e-7,0.091537416
gradient,Gaussian,0,6,1.0,2500,2.490583045278844e-6,0.064891278
