operator,family,phs_order,poly_deg,eps,N,k,nrmse
interpolation,PHS,3,3,0.0,4900,25,NaN
interpolation,PHS,3,3,0.0,4900,30,NaN
interpolation,PHS,3,3,0.0,4900,40,NaN
interpolation,PHS,3,3,0.0,4900,50,NaN
interpolation,PHS,3,3,0.0,4900,60,NaN
interpolation,PHS,3,3,0.0,4900,80,NaN
interpolation,PHS,3,3,0.0,4900,100,NaN
interpolation,PHS,7,3,0.0,4900,10,NaN
interpolation,PHS,7,3,0.0,4900,15,NaN
interpolation,PHS,7,3,0.0,4900,20,NaN
interpolation,PHS,7,3,0.0,4900,25,NaN
interpolation,PHS,7,3,0.0,4900,30,NaN
interpolation,PHS,7,3,0.0,4900,40,NaN
interpolation,PHS,7,3,0.0,4900,50,NaN
interpolation,PHS,7,3,0.0,4900,60,NaN
interpolation,PHS,7,3,0.0,4900,80,NaN
interpolation,PHS,7,3,0.0,4900,100,NaN
laplacian,PHS,3,3,0.0,4900,10,0.04083972143467668
laplacian,PHS,3,3,0.0,4900,15,0.0011788650647474779
laplacian,PHS,3,3,0.0,4900,20,0.0013875696963913298
laplacian,PHS,3,3,0.0,4900,25,0.0012848092845984059
laplacian,PHS,3,3,0.0,4900,30,0.0013099377242759404
laplacian,PHS,3,3,0.0,4900,40,0.0015792909217450285
laplacian,PHS,3,3,0.0,4900,50,0.0023258654628006865
laplacian,PHS,3,3,0.0,4900,60,0.002901236607154642
laplacian,PHS,3,3,0.0,4900,80,0.003775951926257029
laplacian,PHS,3,3,0.0,4900,100,0.004669824721826592
laplacian,PHS,7,3,0.0,4900,10,0.04083972139729058
laplacian,PHS,7,3,0.0,4900,15,0.0002685804492157153
laplacian,PHS,7,3,0.0,4900,20,0.00026678038483114036
laplacian,PHS,7,3,0.0,4900,25,0.0004145269002225213
laplacian,PHS,7,3,0.0,4900,30,0.0006278664576796432
laplacian,PHS,7,3,0.0,4900,40,0.0009642032991785563
laplacian,PHS,7,3,0.0,4900,50,0.0014061306223831134
laplacian,PHS,7,3,0.0,4900,60,0.0018201317202930986
laplacian,PHS,7,3,0.0,4900,80,0.0027443171530506117
laplacian,PHS,7,3,0.0,4900,100,0.0036378609683415533
gradient,PHS,3,3,0.0,4900,10,0.0026227480668823775
gradient,PHS,3,3,0.0,4900,15,8.367435489995336e-6
gradient,PHS,3,3,0.0,4900,20,7.1681554744114135e-6
gradient,PHS,3,3,0.0,4900,25,8.581768215156125e-6
gradient,PHS,3,3,0.0,4900,30,1.031215729572934e-5
gradient,PHS,3,3,0.0,4900,40,1.2489706762524304e-5
gradient,PHS,3,3,0.0,4900,50,1.6416974865002332e-5
gradient,PHS,3,3,0.0,4900,60,1.8536149167707422e-5
gradient,PHS,3,3,0.0,4900,80,2.435898554738059e-5
gradient,PHS,3,3,0.0,4900,100,3.0101844769362964e-5
gradient,PHS,7,3,0.0,4900,10,0.0026227480523780375
gradient,PHS,7,3,0.0,4900,15,4.646280713072245e-6
gradient,PHS,7,3,0.0,4900,20,2.9416523794764013e-6
gradient,PHS,7,3,0.0,4900,25,2.066276842241627e-6
gradient,PHS,7,3,0.0,4900,30,1.3181296153471832e-6
gradient,PHS,7,3,0.0,4900,40,1.1259590640489732e-6
gradient,PHS,7,3,0.0,4900,50,1.00013847378719e-6
gradient,PHS,7,3,0.0,4900,60,8.439047440244512e-7
gradient,PHS,7,3,0.0,4900,80,7.547346177389208e-7
gradient,PHS,7,3,0.0,4900,100,6.807034948570283e-7
